1,1,8,2021-07-23--2021-07-30,Beggin',48633449,Måneskin,3377762,3Wrjm47oTz2sjIgck11l5e,2017-12-08,100
2,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),47248719,The Kid LAROI,2230022,5HCyWlXZPP0y6Gqq8TgA20,2021-07-09,99
3,1,11,2021-06-25--2021-07-02,good 4 u,40162559,Olivia Rodrigo,6266514,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,99
4,3,5,2021-07-02--2021-07-09,Bad Habits,37799456,Ed Sheeran,83293380,6PQ88X9TkUIAUIZJHW2upE,2021-06-25,98
5,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),33948454,Lil Nas X,5473565,27NovPIUIRrOZoCHxABJwK,2021-07-23,96
6,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),30071134,Lil Nas X,5473565,67BtfxlNbhBmCDR2L2l8qd,2021-03-31,97
7,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063,748mdHapucXQri7IAO8yFK,2021-04-09,94
8,2,10,2021-06-18--2021-06-25,Todo De Ti,26951613,Rauw Alejandro,6080597,4fSIb4hdOQ151TILNsSEaF,2021-05-20,95
9,3,8,2021-06-18--2021-06-25,Yonaguni,25030128,Bad Bunny,36142273,2JPLbjOn0wPCngEot2STUS,2021-06-04,96
10,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,24551591,Måneskin,3377762,4pt5fDVTg5GhEvEtlz9dKk,2021-03-19,95
11,4,43,2021-05-07--2021-05-14,Levitating (feat. DaBaby),23518010,Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,2020-10-01,89
12,9,9,2021-07-02--2021-07-09,Qué Más Pues?,22405111,"J Balvin, Maria Becerra",29051363,6hf0RpxTbOprT5nnwzkk8e,2021-05-28,95
13,5,3,2021-07-09--2021-07-16,Permission to Dance,22062812,BTS,37106176,0LThjFY2iTtNdd4wviwVV2,2021-07-09,95
14,1,19,2021-04-02--2021-04-09,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,94
15,2,10,2021-05-21--2021-05-28,Butter,19985713,BTS,37106176,2bgTY4UwhfBYhGT4HUYStN,2021-06-04,95
16,7,10,2021-05-21--2021-05-28,traitor,19480679,Olivia Rodrigo,6266514,5CZ40GBx1sQ9agT82CLQCT,2021-05-21,94
17,3,17,2021-05-21--2021-05-28,deja vu,18571755,Olivia Rodrigo,6266514,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,93
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,94
19,14,5,2021-07-02--2021-07-09,AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734,05bfbizlM5AX6Mf1RRyMho,2021-06-24,93
20,20,7,2021-07-23--2021-07-30,Need To Know,16908917,Doja Cat,8640063,3Vi5XqYrmQgOYBajMWSvCi,2021-06-25,90
21,19,3,2021-07-16--2021-07-23,Volando - Remix,16606925,"Mora, Bad Bunny, Sech",151486,0G2zPzWqVjR68iNPmx2TBe,2021-07-08,91
22,22,5,2021-07-23--2021-07-30,Ain't Shit,16126897,Doja Cat,8640063,5lAnYvAIkSDNXqfo7DyFUm,2021-06-25,90
23,1,29,2021-03-12--2021-03-19,drivers license,15684978,Olivia Rodrigo,6266514,5wANPM4fQCJwkGd4rN57mH,2021-05-21,92
24,24,31,2021-07-23--2021-07-30,Heat Waves,15089184,Glass Animals,1890510,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,85
25,1,83,2020-06-12--2020-06-19,Blinding Lights,15011809,The Weeknd,35305637,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,92
26,12,10,2021-05-21--2021-05-28,happier,14849078,Olivia Rodrigo,6266514,2tGvwE8GcFKwNdAXMnlbfl,2021-05-21,92
27,27,3,2021-07-23--2021-07-30,Pepas,14809458,Farruko,10502148,5fwSHlTEWpluwOM0Sxnh5k,2021-06-24,92
28,18,3,2021-07-09--2021-07-16,Motley Crew,14329162,Post Malone,33651775,40uMIn2zJLAQhNXghRjBed,2021-07-09,90
29,15,23,2021-05-07--2021-05-14,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,14273637,"Riton, Nightcrawlers",83689,4cG7HUWYHBV6R6tHn1gxrl,2021-01-15,92
30,3,28,2021-04-02--2021-04-09,Astronaut In The Ocean,14174752,Masked Wolf,365975,3Ofmpyhv5UAQ70mENzB277,2021-01-06,89
31,5,21,2021-04-09--2021-04-16,Leave The Door Open,13963568,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754,7MAibcTli4IisCtbHKrGMh,2021-03-05,92
32,32,1,2021-07-23--2021-07-30,Don't Go Yet,13205250,Camila Cabello,22683756,1058fW9H3fZA6QjYCdOBad,2021-07-23,88
33,11,10,2021-05-28--2021-06-04,favorite crime,12818935,Olivia Rodrigo,6266514,5JCoSi02qi3jJeHdZXMmR8,2021-05-21,91
34,10,15,2021-05-07--2021-05-14,Pareja Del Año,12572307,"Sebastian Yatra, Myke Towers",16216789,2rCbl9naJYhaxjLsfx88uM,2021-04-16,91
35,4,83,2020-07-31--2020-08-07,Watermelon Sugar,11996689,Harry Styles,16112621,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,90
36,36,1,2021-07-23--2021-07-30,NOT SOBER (feat. Polo G & Stunna Gambino),11869336,The Kid LAROI, , , , 
37,3,16,2021-04-16--2021-04-23,RAPSTAR,11683383,Polo G,4840346,43PGPuHIlVOc04jrZVh9L6,2021-04-09,89
38,15,5,2021-06-25--2021-07-02,You Right,11629418,"Doja Cat, The Weeknd",8640063,0k4d5YPDr1r7FX77VdqWez,2021-06-25,89
39,39,3,2021-07-23--2021-07-30,911 - Remix,11553846,"Sech, Jhay Cortez",8758283,27RSJHEA99Y0Vsow7nA37A,2021-07-09,89
40,1,39,2021-01-01--2021-01-08,DÁKITI,11524288,"Bad Bunny, Jhay Cortez",36142273,4MzXwWMhyBbmu6hOcLVD49,2020-11-27,86
41,41,13,2021-07-23--2021-07-30,Miénteme,11477024,"TINI, Maria Becerra",2936204,0cOa970mzTWAxKtltpkpLc,2021-04-29,90
42,17,10,2021-05-21--2021-05-28,"jealousy, jealousy",11287301,Olivia Rodrigo,6266514,0MMyJUC3WNnFS1lit5pTjk,2021-05-21,90
43,33,6,2021-07-02--2021-07-09,Poblado - Remix,11283626,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,1WedZeiezCmCEOzLwhx0hV,2021-06-18,89
44,2,49,2020-11-20--2020-11-27,Dynamite,11196819,BTS,37106176,4saklk6nie3yiGePpBwUoc,2020-11-20,89
45,9,39,2021-02-26--2021-03-05,The Business,10739770,Tiësto,5785065,6f3Slt0GbA2bPZlz0aIFXN,2020-09-16,90
